trial_id,prompt_id,prompt_type,prefix_id,prefix_category,prefix_text,replication,temperature,input_tokens,output_tokens,generation_time_ms,course_corrected,framing_id,framing_category,base_question,m_char_count,m_word_count,m_sentence_count,m_paragraph_count,m_list_item_count,m_question_count,m_avg_word_length,m_avg_sentence_length,m_type_token_ratio,m_flesch_reading_ease,m_flesch_kincaid_grade,m_hedge_word_count,m_certainty_marker_count,m_first_person_hedge_count,m_example_count,m_caveat_count,m_citation_like_count,m_exclamation_count,m_intensifier_count,j_thoroughness,j_accuracy,j_insight,j_clarity,j_engagement,j_nuance,j_usefulness
70e4f06d-c2ae-412b-872f-71588faef186,neutral_1363,factual,none,control,,18,0.7,71,1580,39958,False,neutral,neutral,What causes inflation?,4969,737,47,20,13,0,5.69,15.68,0.537,33.7,12.6,0,2,0,3,2,1,0,1,4,4,4,4,4,4,4
3e81e917-626a-41af-8940-a0e4d8684ad3,dismissive_1363,factual,none,control,,2,0.7,77,1079,21192,False,dismissive,dismissive,What causes inflation?,4201,627,27,11,6,0,5.67,23.22,0.568,21.9,16.3,1,2,0,1,1,0,0,0,4,4,4,4,4,4,4
8bc62420-9cd8-413f-8818-1ccbc0523bd5,neutral_3770,factual,none,control,,16,0.7,74,1911,36833,False,neutral,neutral,Is it ethical to eat meat?,7396,1064,87,31,49,2,5.83,12.23,0.508,24.8,13.4,3,0,0,3,3,0,0,1,4,4,4,4,4,4,4
81e348a9-9b57-4c13-9f56-ed8737be3bdb,rushed_1224,factual,none,control,,5,0.7,82,1140,22104,False,rushed,rushed,What are the strongest arguments for and against universal basic income?,4494,683,49,11,6,0,5.57,13.94,0.599,34.1,12.1,2,0,0,2,3,0,0,1,6,5,4,7,6,6,7
d4dce6a3-916b-4ecb-8da0-a63a0ce234a9,enthusiastic_9714,factual,none,control,,28,0.7,76,1881,36360,False,enthusiastic,enthusiastic,How does democracy work?,7074,989,107,31,56,0,5.97,9.24,0.535,15.7,14.3,2,2,0,1,2,0,0,0,4,4,4,4,4,4,4
54c26c68-1f3a-4fb9-8b3e-0bfd346ca2f6,neutral_1224,factual,none,control,,28,0.7,79,1841,36848,False,neutral,neutral,What are the strongest arguments for and against universal basic income?,7836,1156,102,19,27,0,5.74,11.33,0.56,29.1,13.0,4,1,0,3,2,0,0,1,4,4,4,4,4,4,4
d56b65d0-ea4b-47a2-b77e-6768620c7bae,dismissive_4625,factual,none,control,,16,0.7,84,2000,46467,False,dismissive,dismissive,How would you reduce traffic congestion in a major city?,6290,899,77,21,17,0,5.93,11.68,0.605,31.7,11.6,0,0,0,1,1,0,0,1,4,4,4,4,4,4,4
3d2a4ac3-feb6-4ade-9f0b-876867d70854,dismissive_1224,factual,none,control,,18,0.7,85,1714,34789,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,7192,1086,56,18,15,0,5.6,19.39,0.513,25.6,14.6,2,0,0,3,3,0,0,1,4,4,4,4,4,4,4
6681847e-505a-4c29-8d35-19a7dcb11757,neutral_1363,factual,none,control,,27,0.7,71,1535,30173,False,neutral,neutral,What causes inflation?,5757,868,48,36,55,0,5.53,18.08,0.517,22.8,15.0,1,2,0,3,3,0,0,0,4,4,4,4,4,4,4
a950db08-a90e-4b23-8717-b7c58f973bf5,neutral_4625,factual,none,control,,16,0.7,78,2000,39716,False,neutral,neutral,How would you reduce traffic congestion in a major city?,6971,1037,21,36,22,0,5.66,49.38,0.555,-11.8,25.4,0,0,0,1,1,0,0,0,4,4,4,4,4,4,4
